symbol	entrez	ensembl	uniprot
PPP2R3A	5523	ENSG00000073711	
ZNF232	7775	ENSG00000167840	
NRSN2	80023	ENSG00000125841	Q9GZP1
CCDC80	151887	ENSG00000091986	Q76M96
PSMC6	5706	ENSG00000100519	
LRRC17	10234	ENSG00000128606	
DTWD1	56986	ENSG00000104047	Q8N5C7
PPP1R9A	55607	ENSG00000158528	Q9ULJ8
NR2E3	10002	ENSG00000278570	
ZNF232	7775	ENSG00000167840	Q9UNY5
CCDC120	90060	ENSG00000147144	Q96HB5
RSF1	51773	ENSG00000048649	Q96T23
DTWD1	56986	ENSG00000104047	
FCHSD2	9873	ENSG00000137478	O94868
RSF1	51773	ENSG00000048649	
E2F6	1876	ENSG00000169016	
MTHFD2	10797	ENSG00000065911	P13995
MTHFD2	10797	ENSG00000065911	
MPRIP	23164	ENSG00000133030	
HLA-DOB	3112	ENSG00000241386	P13765
KLHL8	57563	ENSG00000145332	Q9P2G9
KRT78	196374	ENSG00000170423	Q8N1N4
NR2E3	10002	ENSG00000278570	Q9Y5X4
SLC25A17	10478	ENSG00000100372	
KRT78	196374	ENSG00000170423	
KLHL8	57563	ENSG00000145332	
CCDC80	151887	ENSG00000091986	
FCHSD2	9873	ENSG00000137478	
C2orf81	388963	ENSG00000284308	
PDGFA	5154	ENSG00000197461	P04085
CCDC120	90060	ENSG00000147144	
C2orf81	388963	ENSG00000284308	A6NN90
DPY19L2	283417	ENSG00000177990	Q6NUT2
PDGFA	5154	ENSG00000197461	
TMEM51	55092	ENSG00000171729	Q9NW97
TMEM51	55092	ENSG00000171729	
PRPF38B	55119	ENSG00000134186	Q5VTL8
DPY19L2	283417	ENSG00000177990	
N4BP1	9683	ENSG00000102921	O75113
ARHGDIB	397	ENSG00000111348	P52566
ARHGDIB	397	ENSG00000111348	
TFPT	29844	ENSG00000276504	P0C1Z6
RBPMS2	348093	ENSG00000166831	Q6ZRY4
PRPF38B	55119	ENSG00000134186	
TFPT	29844	ENSG00000276504	
AC006030.1		ENSG00000264324	
N4BP1	9683	ENSG00000102921	
FAM217B	63939	ENSG00000196227	Q9NTX9
EPS8L3	79574	ENSG00000198758	Q8TE67
SLC25A17	10478	ENSG00000100372	O43808
FAM217B	63939	ENSG00000196227	
ZC3H3	23144	ENSG00000282684	
DZANK1	55184	ENSG00000089091	Q9NVP4
GFI1B	8328	ENSG00000165702	Q5VTD9
PPP1R3D	5509	ENSG00000132825	O95685
SLC35D2	11046	ENSG00000130958	
GFI1B	8328	ENSG00000165702	
PROK2	60675	ENSG00000163421	Q9HC23
ANAPC5	51433	ENSG00000089053	
ZNF311	282890	ENSG00000197935	Q5JNZ3
KAZN	23254	ENSG00000189337	
EPS8L3	79574	ENSG00000198758	
PODXL2	50512	ENSG00000114631	Q9NZ53
TRAV25		ENSG00000211806	A0A0B4J276
PRKCZ	5590	ENSG00000067606	Q05513
PRKCZ	5590	ENSG00000067606	
KDELR3	11015	ENSG00000100196	O43731
PRDM14	63978	ENSG00000147596	Q9GZV8
DMTN	2039	ENSG00000158856	Q08495
COPS6	10980	ENSG00000168090	Q7L5N1
PRDM14	63978	ENSG00000147596	
COPS6	10980	ENSG00000168090	
E2F6	1876	ENSG00000169016	O75461
BMP8A	353500	ENSG00000183682	Q7Z5Y6
SREBF2	6721	ENSG00000198911	Q12772
OVCA2	124641	ENSG00000262664	Q8WZ82
GPR107	57720	ENSG00000148358	Q5VW38
TSC1	7248	ENSG00000165699	
SNAPC4	6621	ENSG00000165684	Q5SXM2
GPR107	57720	ENSG00000148358	
SLC17A9	63910	ENSG00000101194	Q9BYT1
SNAPC4	6621	ENSG00000165684	
ALPK2	115701	ENSG00000198796	Q86TB3
CWC27	10283	ENSG00000153015	Q6UX04
CWC27	10283	ENSG00000153015	
KAZN	23254	ENSG00000189337	Q674X7
SLC1A3	6507	ENSG00000079215	P43003
OR2W1	26692	ENSG00000204704	Q9Y3N9
NTRK2	4915	ENSG00000148053	Q16620
SLC35D2	11046	ENSG00000130958	Q76EJ3
TMC4	147798	ENSG00000277789	
DHDDS	79947	ENSG00000117682	
SLC1A3	6507	ENSG00000079215	
FAM199X	139231	ENSG00000123575	Q6PEV8
USP6	9098	ENSG00000129204	P35125
SREBF2	6721	ENSG00000198911	
DDX17	10521	ENSG00000100201	
SLC17A9	63910	ENSG00000101194	
SAMD11	148398	ENSG00000187634	Q96NU1
SPIN3	169981	ENSG00000204271	Q5JUX0
GRK1	6011	ENSG00000185974	Q15835
ANKS3	124401	ENSG00000168096	Q6ZW76
C20orf144	128864	ENSG00000149609	Q9BQM9
ANKS3	124401	ENSG00000168096	
KIR3DL2	3812	ENSG00000278850	
ANAPC5	51433	ENSG00000089053	Q9UJX4
DPPA3	359787	ENSG00000187569	Q6W0C5
CNDP2	55748	ENSG00000133313	
OR11H1	81061	ENSG00000130538	
OR11H1	81061	ENSG00000130538	Q8NG94
FAM209A	200232	ENSG00000124103	Q5JX71
USP6	9098	ENSG00000129204	
INPP5K	51763	ENSG00000132376	Q9BT40
KRT37	8688	ENSG00000263022	O76014
MACO1	55219	ENSG00000204178	Q8N5G2
RBM43	375287	ENSG00000184898	Q6ZSC3
MACO1	55219	ENSG00000204178	
SPIN3	169981	ENSG00000204271	
RBM43	375287	ENSG00000184898	
KIR2DS4	3809	ENSG00000276395	P43632
TMEM17	200728	ENSG00000186889	Q86X19
ISLR2	57611	ENSG00000167178	
PON1	5444	ENSG00000005421	P27169
PIK3C2A	5286	ENSG00000011405	O00443
TMEM254	80195	ENSG00000133678	Q8TBM7
ANKMY2	57037	ENSG00000106524	Q8IV38
DDX53	168400	ENSG00000184735	Q86TM3
PIK3C2A	5286	ENSG00000011405	
ANKMY2	57037	ENSG00000106524	
PON1	5444	ENSG00000005421	
ISLR2	57611	ENSG00000167178	Q6UXK2
CBLL2	158506	ENSG00000175809	Q8N7E2
TMEM254	80195	ENSG00000133678	
IARS1	3376	ENSG00000196305	P41252
HSD17B3	3293	ENSG00000130948	P37058
HSD17B3	3293	ENSG00000130948	
DPH1	1801	ENSG00000108963	Q9BZG8
PKLR	5313	ENSG00000143627	P30613
IARS1	3376	ENSG00000196305	
C16orf71	146562	ENSG00000166246	Q8IYS4
C16orf71	146562	ENSG00000166246	
PKLR	5313	ENSG00000143627	
DPH1	1801	ENSG00000108963	
AL160269.1	11046	ENSG00000285269	
ATG16L2	89849	ENSG00000168010	Q8NAA4
BASP1	10409	ENSG00000176788	
ATG16L2	89849	ENSG00000168010	
CRYBG3	131544	ENSG00000080200	Q68DQ2
BAG4	9530	ENSG00000156735	O95429
CRYBG3	131544	ENSG00000080200	
PAXIP1	22976	ENSG00000157212	Q6ZW49
BASP1	10409	ENSG00000176788	P80723
NFATC2IP	84901	ENSG00000176953	
PLA2G10	8399	ENSG00000276870	O15496
BAG4	9530	ENSG00000156735	
PLA2G10	8399	ENSG00000276870	
CNDP2	55748	ENSG00000133313	Q96KP4
GADD45A	1647	ENSG00000116717	P24522
OTP	23440	ENSG00000171540	Q5XKR4
RIMKLA	284716	ENSG00000177181	
NFATC2IP	84901	ENSG00000176953	Q8NCF5
INPP5K	51763	ENSG00000132376	
POMP	51371	ENSG00000132963	Q9Y244
POMP	51371	ENSG00000132963	
GADD45A	1647	ENSG00000116717	
DARS1	1615	ENSG00000115866	P14868
PAXIP1	22976	ENSG00000157212	
LSM1	27257	ENSG00000175324	O15116
SLC39A13	91252	ENSG00000165915	
RIMKLA	284716	ENSG00000177181	Q8IXN7
ZHX3	23051	ENSG00000174306	
WDR5	11091	ENSG00000196363	
LSM1	27257	ENSG00000175324	
DARS1	1615	ENSG00000115866	
HNRNPA2B1	3181	ENSG00000122566	P22626
NOTCH2	4853	ENSG00000134250	Q04721
ESX1	80712	ENSG00000123576	Q8N693
SLC39A13	91252	ENSG00000165915	Q96H72
ZHX3	23051	ENSG00000174306	Q9H4I2
NOTCH2	4853	ENSG00000134250	
CDH26	60437	ENSG00000124215	Q8IXH8
CDH26	60437	ENSG00000124215	
FBXL13	222235	ENSG00000161040	Q8NEE6
SIAH2	6478	ENSG00000181788	O43255
CLK2	1196	ENSG00000176444	P49760
SIAH2	6478	ENSG00000181788	
UBR5	51366	ENSG00000104517	O95071
WDR5	11091	ENSG00000196363	P61964
FERMT1	55612	ENSG00000101311	Q9BQL6
OR2B3	442184	ENSG00000204703	O76000
CD200R1L	344807	ENSG00000206531	Q6Q8B3
NPIPA3	642778	ENSG00000278308	
OR2J1	442185	ENSG00000204702	Q9GZK6
FERMT1	55612	ENSG00000101311	
FBXL13	222235	ENSG00000161040	
MINDY4B	646951	ENSG00000214237	A8MYZ0
UBR5	51366	ENSG00000104517	
CD200R1L	344807	ENSG00000206531	
CLK2	1196	ENSG00000176444	
RTF2	51507	ENSG00000022277	Q9BY42
OR2J3	442186	ENSG00000204701	
OR2J3	442186	ENSG00000204701	O76001
RTF2	51507	ENSG00000022277	
CLRN1	7401	ENSG00000163646	P58418
HNRNPA2B1	3181	ENSG00000122566	
ISLR	3671	ENSG00000129009	O14498
IGLV1-36		ENSG00000273737	A0A0B4J1U3
SORCS1	114815	ENSG00000108018	Q8WY21
ISLR	3671	ENSG00000129009	
SYBU	55638	ENSG00000147642	Q9NX95
KIR3DL1	3811	ENSG00000273775	
SORCS1	114815	ENSG00000108018	
SYBU	55638	ENSG00000147642	
RIOX2	84864	ENSG00000170854	Q8IUF8
PCDH10	57575	ENSG00000138650	Q9P2E7
CLRN1	7401	ENSG00000163646	
HCN3	57657	ENSG00000143630	Q9P1Z3
GAS6	2621	ENSG00000183087	Q14393
NFE2L3	9603	ENSG00000050344	Q9Y4A8
GCNT7	140687	ENSG00000124091	Q6ZNI0
GCNT7	140687	ENSG00000124091	
NFE2L3	9603	ENSG00000050344	
KIR3DL2	3812	ENSG00000278656	
DAO	1610	ENSG00000110887	
DIRAS3	9077	ENSG00000162595	O95661
RIOX2	84864	ENSG00000170854	
AC020636.2		ENSG00000260234	
SLC4A5	57835	ENSG00000188687	Q9BY07
SLC4A5	57835	ENSG00000188687	
ZNF280B	140883	ENSG00000277421	
PPCS	79717	ENSG00000127125	Q9HAB8
PPCS	79717	ENSG00000127125	
TMEM255B	348013	ENSG00000184497	
DHDDS	79947	ENSG00000117682	Q86SQ9
ZNF280A	129025	ENSG00000275499	
SLC9A7	84679	ENSG00000065923	Q96T83
DKK3	27122	ENSG00000050165	Q9UBP4
GBP3	2635	ENSG00000117226	Q9H0R5
TMEM255B	348013	ENSG00000184497	Q8WV15
UNC50	25972	ENSG00000115446	Q53HI1
TBC1D3K	101060351	ENSG00000275153	
TBC1D3K	102723859	ENSG00000275153	
UNC50	25972	ENSG00000115446	
PMP22	5376	ENSG00000109099	Q01453
DKK3	27122	ENSG00000050165	
SLC9A7	84679	ENSG00000065923	
SPATA16	83893	ENSG00000144962	Q9BXB7
SRY	6736	ENSG00000184895	Q05066
SPATA16	83893	ENSG00000144962	
CCDC30	728621	ENSG00000186409	
PMP22	5376	ENSG00000109099	
AMPD1	270	ENSG00000116748	
PABPC4L	132430	ENSG00000254535	P0CB38
GBP3	2635	ENSG00000117226	
NCOA2	10499	ENSG00000140396	Q15596
PIWIL2	55124	ENSG00000197181	Q8TC59
NCOA2	10499	ENSG00000140396	
TBC1D3L	729873	ENSG00000276349	
TBC1D3L	101060376	ENSG00000276349	
DAO	1610	ENSG00000110887	P14920
EMX2	2018	ENSG00000170370	Q04743
CPA4	51200	ENSG00000128510	
EMX2	2018	ENSG00000170370	
OR2J2	26707	ENSG00000204700	
ASH2L	9070	ENSG00000129691	Q9UBL3
MYO18A	399687	ENSG00000196535	Q92614
MPRIP	23164	ENSG00000133030	Q6WCQ1
ASH2L	9070	ENSG00000129691	
OR2J2	26707	ENSG00000204700	O76002
BIK	638	ENSG00000100290	Q13323
KIR2DL4	3805	ENSG00000277362	Q99706
C4orf48	401115	ENSG00000243449	Q5BLP8
CPA4	51200	ENSG00000128510	Q9UI42
AMPD1	270	ENSG00000116748	P23109
C2orf76	130355	ENSG00000186132	Q3KRA6
CBLN1	869	ENSG00000102924	P23435
CBLN1	869	ENSG00000102924	
WLS	79971	ENSG00000116729	Q5T9L3
CBX3	11335	ENSG00000122565	Q13185
MRPS18B	28973	ENSG00000204568	Q9Y676
NOC2L	26155	ENSG00000188976	Q9Y3T9
C2orf76	130355	ENSG00000186132	
CLVS1	157807	ENSG00000177182	
NEK10	152110	ENSG00000163491	Q6ZWH5
CBX3	11335	ENSG00000122565	
PLD6	201164	ENSG00000179598	Q8N2A8
FAM180A	389558	ENSG00000189320	Q6UWF9
CLVS1	157807	ENSG00000177182	Q8IUQ0
WLS	79971	ENSG00000116729	
KIR2DL1	3802	ENSG00000276310	
TRAV26-1		ENSG00000211807	A0A087WT03
TRAV8-7		ENSG00000211808	
PON3	5446	ENSG00000105852	Q15166
TSBP1	10665	ENSG00000204296	
TRAV27		ENSG00000211809	A0A087WT01
PON3	5446	ENSG00000105852	
TRPV6	55503	ENSG00000276971	
CLSTN2	64084	ENSG00000158258	Q9H4D0
TRAV29DV5		ENSG00000211810	P04437
NECAB3	63941	ENSG00000125967	Q96P71
TSHR	7253	ENSG00000165409	
TRIM26	7726	ENSG00000230230	Q12899
PTCD3	55037	ENSG00000132300	Q96EY7
TSHR	7253	ENSG00000165409	P16473
TSBP1	10665	ENSG00000204296	Q5SRN2
STAR	6770	ENSG00000147465	P49675
PNP	4860	ENSG00000198805	
GNG12	55970	ENSG00000172380	Q9UBI6
STAR	6770	ENSG00000147465	
XKR6	286046	ENSG00000171044	
XKR6	286046	ENSG00000171044	Q5GH73
FLCN	201163	ENSG00000154803	Q8NFG4
TRIM26	7726	ENSG00000230230	
SLC13A4	26266	ENSG00000164707	Q9UKG4
CTXN2	399697	ENSG00000233932	P0C2S0
PTCD3	55037	ENSG00000132300	
FLCN	201163	ENSG00000154803	
TRAV30		ENSG00000259092	A0A087WSZ9
PLCG1	5335	ENSG00000124181	P19174
DIO1	1733	ENSG00000211452	
SLC13A4	26266	ENSG00000164707	
FNDC7	163479	ENSG00000143107	Q5VTL7
PPP1R10	5514	ENSG00000204569	Q96QC0
DIO1	1733	ENSG00000211452	P49895
NAT8L	339983	ENSG00000185818	Q8N9F0
FNDC7	163479	ENSG00000143107	
STMP1	647087	ENSG00000243317	
CEP128	145508	ENSG00000100629	
ATL2	64225	ENSG00000119787	Q8NHH9
STMP1	647087	ENSG00000243317	E0CX11
BTNL2	56244	ENSG00000204290	
ATL2	64225	ENSG00000119787	
